company_name,job_title,salary,salary_type,work_location,emp_type,seniority,job_cat,job_details
OAKTREE CONSULTING,Supplier Quality Engineer(IPC Certification),"$4,000to$4,500",Monthly,"PENINSULA PLAZA, 111 NORTH BRIDGE ROAD 179098","Permanent, Full Time","Manager, Executive","Engineering, Information Technology, Manufacturing","Roles & ResponsibilitiesJob Description Responsibilities  Provides SQM support and independently produces and Completes Supplier Quality Engineering related activities (e.g. Problem solving and failure / root cause analysis activities) and documentations Manage close partnership with suppliers and contract manufacturers to promote ease of work collaboration, quality control process improvement and generate/ implement cost reduction initiatives. Ensure raw materials, components and products from suppliers/ contract manufacturers are delivered according to Company specifications and quality requirements. Execute NCMR & SCAR management effectively and with timely closure. Drive quality and compliance development and /or improvement at suppliers when necessary. Manage and maintain registries for Supplier Quality Metrics such as Non Conformance Material Return (NCMR), Supplier Corrective Action Request (SCAR) and Corrective Action and Preventive Action (CAPA). Participate in the assessment and selection of supplier of key commodities through conducting Supplier Qualification Audit. Maintain data integrity between company NCMR records and Contract manufacturer MRB records Execute First Article Inspection (FAI) management together with Designers to establish the FAI reports to support quality control purposes with the use of appropriate measurement equipments. Execute IQC management of all incoming parts from a supplier with reference to FAI reports to ensure all parts are meeting specifications. Maintain all the finished product information in the Master Excel Database for full record traceability. Execute OQC and SI Management over final product quality to ensure all finished products are inspected to be fully in compliance with the full product specification and quality requirement to be approved for shipment (Dua Quality Gate Approach) Perform Source Inspection (SI) by Out-of-Box sampling inspection methods Collect CM Factories production test and OQA for statistical study to review and analyses the trend of yield performance and take appropriate action for improvements.  Requirements  Candidate must possess at least a Professional Certificate/NiTEC, Diploma/Advanced/Higher/Graduate Diploma in Engineering (Electrical/Electronics/Communication/Quality Engineering) or equivalent. At least 3 Year(s) of working experience in the related field is required for this position. IPC certification is a must for this role   John Goh Meng Chye EA License No : 06C4642 EA Reg No : R1102621 We regret that only shortlisted candidates will be notified.Requirements  Please submit resumes to john@oaktree.com.sg with the following details in MS Word format:   - Position applying for - Current remuneration - Expected remuneration - Notice period      John Goh Meng Chye  EA License No : 06C4642 EA Reg No : R1102621     We regret that only shortlisted candidates will be notified.  "
PROPERTYGURU PTE. LTD.,Web Engineer - Full Stack,"$6,500to$8,500",Monthly,"TRIPLEONE SOMERSET, 111 SOMERSET ROAD 238164","Permanent, Full Time",Professional,Information Technology,"Roles & ResponsibilitiesSo you think you can code? Think you’re a kickass programmer? You live for coding; you write code so beautiful that code-reviewers jump off cliffs from pure jealously? You are highly motivated and passionately follow engineering best practices. You enjoy learning and mastering bleeding edge technologies? You are driven to build solutions that make life easier for millions of people. You want to create web sites with amazing user experience that earn five-star ratings. You are not only well versed in front-end, back-end development, but also have a strong understanding of good UX and aren’t afraid to get your hands dirty in server configuration. If this is you then come code with us. Our main programming language is PHP but we will take onboard engineers proficient in any of the web languages (Ruby, Java, etc.) This is what we have done already:  We have developed 5 property portals with dominant presence in 4 countries Our traffic has passed 100 million monthly page views and is increasing fast We win prestigious awards for property online portals every year and our web portals always occupy top most visited sites in all 4 countries  What are typical challenges we face at PropertyGuru?  We’re dealing with massive amount of incoming data everyday We’re dealng withmassive traffic (130+M users) Requirements 5+ years of web development experience using LAMP stack or similar web technologies Well-versed with front-end code in HTML5, CSS3, Javascript with familiarity in various frameworks and template languages Possess strong understanding of Object-Oriented Programming, especially in PHP Proficient with database design, optimization and tuning in MySQL Experience in design patterns, unit testing, automation techniques (Selenium WebDriver) Exposure to Amazon Web Services (EC2, S3, EBS, RDS, SQS, Redshift, etc.) Exposure to collaborating tools like GitHub, JIRA, Confluence Experience in PHP frameworks such as Symfony 2, ZF2, or proven ability to learn on the job Exposure to Scrum methodology and XP technical practices such as unit testing, pair programming, test-driven development, continuous integration or continuous delivery Self-motivated, fast learner, detail-oriented, team player and a sense of humor "
TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,Security Consultant,"$5,000to$6,500",Monthly,"SHENTON HOUSE, 3 SHENTON WAY 068805","Contract, Full Time",Professional,Information Technology,"Roles & Responsibilities Good hands on experience in Protegrity Security implementation Working knowledge on AWS Cloud environment, integrations and log management Good hands on experience in Symantec CASB implementation in AWS Integration of Symantec CASB with DLP Data Security implementation using Symantec DLP. Requirements Good hands on experience in Protegrity Security implementation Working knowledge on AWS Cloud environment, integrations and log management Good hands on experience in Symantec CASB implementation in AWS Integration of Symantec CASB with DLP Data Security implementation using Symantec DLP. "
OAKTREE CONSULTING,Admin Assistants(Jurong),"$2,000to$2,400",Monthly,"PENINSULA PLAZA, 111 NORTH BRIDGE ROAD 179098","Permanent, Full Time","Executive, Non-executive","Admin / Secretarial, Customer Service, Logistics / Supply Chain, Purchasing / Merchandising","Roles & Responsibilities Handling day to day enquiries, feedbacks, quotation, coordinate and follow up with customers. Arrange and manage maintenance scheduled Provide and Manage administrative support to control centre operations Generating and maintaining of documents and data in the CRM system Maintain proper filing and documentation Updating and generating timely reports Other ad-hoc duties when assigned  Requirement  Min Nitec with 1-2 years working experience Able to work independently with minimum supervision Good communication skills Team player Responsible, mature and well-groomed    Please submit resumes to john@oaktree.com.sg with the following details in MS Word format:  - Position applying for - Current remuneration - Expected remuneration - Notice period  John Goh Meng Chye EA License No : 06C4642 EA Reg No : R1102621Requirements Please submit resumes to john@oaktree.com.sg with the following details in MS Word format: - Position applying for - Current remuneration - Expected remuneration - Notice period   John Goh Meng Chye  EA License No : 06C4642 EA Reg No : R1102621  We regret that only shortlisted candidates will be notified.  "
TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,System Infrastructure consultant,"$5,000to$6,500",Monthly,"SHENTON HOUSE, 3 SHENTON WAY 068805","Contract, Full Time",Professional,Information Technology,"Roles & Responsibilities At least 6 years of verifiable working experience in system setup and implementation role Strong technical knowledge of Wintel Technology covering Microsoft / Redhat, Server Hardware, Software Define Data Centre (SDDC), System Hardening, Exchange 2013/2016 Operational knowledge in supporting Date Centre and virtualization technologies Proficient in VM VMware product suites (vSphere, SRM, NSX, vRealize Ops Manager & Log Insight), DELL servers’ series / VXRAIL, Linux, and Microsoft Servers technologies (OS, AD, DHCP, DNS, IIS, ADFS, Clustering) Operation experience deploying cloud-based solution (Vmware, Azure) for enterprise customers Strong verbal and written communication with excellent presentation skills. Requirements At least 6 years of verifiable working experience in system setup and implementation role Strong technical knowledge of Wintel Technology covering Microsoft / Redhat, Server Hardware, Software Define Data Centre (SDDC), System Hardening, Exchange 2013/2016 Operational knowledge in supporting Date Centre and virtualization technologies Proficient in VM VMware product suites (vSphere, SRM, NSX, vRealize Ops Manager & Log Insight), DELL servers’ series / VXRAIL, Linux, and Microsoft Servers technologies (OS, AD, DHCP, DNS, IIS, ADFS, Clustering) Operation experience deploying cloud-based solution (Vmware, Azure) for enterprise customers Strong verbal and written communication with excellent presentation skills. "
AMPOTECH PTE. LTD.,Full Stack Developer,"$4,500to$7,000",Monthly,"WISMA ALSAGOFF, 520 NORTH BRIDGE ROAD 188742",Full Time,Professional,Information Technology,"Roles & ResponsibilitiesDescription of Role As a Full Stack Developer at Ampotech, you will work closely with the product team to expand and improve the capabilities of the AmpoCloud software platform for managing and analyzing energy data. The scope of work includes optimizing the use of AWS tools/resources for IoT systems, designing scalable databases and device management tools, and implementing front-end features.RequirementsDesired Qualifications   Bachelor’s or Master’s degree in Computer Science or Computer Engineering   At least 3 years of experience in software development   Proficient with at least one web application framework and language   Able to work independently and communicate well   Experience developing infrastructure for time series data, machine learning & data analytics platform is a plus   Experience in IoT platform-related work, particularly using AWS & AWS IoT resources is a strong plus   Experience with web application development for IoT dashboard, IoT data analytics system is a strong plus  "
TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,Network Consultant,"$5,500to$6,500",Monthly,"SHENTON HOUSE, 3 SHENTON WAY 068805","Contract, Full Time",Professional,Information Technology,"Roles & Responsibilities At least 6 years of verifiable working experience in system setup and implementation role Experience in implementation of enterprise Data Centre network, with network virtualization solutions and technologies, Layer 2/3 networking technologies Experienced with implementing various network product and technology (e.g. Cisco ASA, Palo Alto, Dell Layer 2 and 3 switches, F5 GTM/LTM, Cisco ISE, Fortigate Firewall, 2 Factors authentication)  Strong technical experience in VMWare NXS, Software Define Network (e.g. SDN, SD-WAN), Routing, Switching, Firewall, Load Balancer and VPN technology Familiar with SolarWind and AAA technologies (TACACS= and RADIUS) Possess CCNP or Firewall certification(s) CISCO certificates, training certificates for Cisco ASA and Palo alto Responsibilities include working out low level network design, IP scheme design, and network failover setup, attend meeting and discussion with various supporting vendors and customer for a twin active-active DC network setup. Supervise vendors in installation and configuration of Dell Layer 2 & Layer 3 switches, Palo Alto Firewall, Fortigate Firewall, F5 GTM and LTM, Cisco ISE, SMS gateway, Solarwind Network monitoring tools as part of the Active-Active twin DC design/setup.   Requirements At least 6 years of verifiable working experience in system setup and implementation role Experience in implementation of enterprise Data Centre network, with network virtualization solutions and technologies, Layer 2/3 networking technologies Experienced with implementing various network product and technology (e.g. Cisco ASA, Palo Alto, Dell Layer 2 and 3 switches, F5 GTM/LTM, Cisco ISE, Fortigate Firewall, 2 Factors authentication)  Strong technical experience in VMWare NXS, Software Define Network (e.g. SDN, SD-WAN), Routing, Switching, Firewall, Load Balancer and VPN technology Familiar with SolarWind and AAA technologies (TACACS= and RADIUS) Possess CCNP or Firewall certification(s) CISCO certificates, training certificates for Cisco ASA and Palo alto Responsibilities include working out low level network design, IP scheme design, and network failover setup, attend meeting and discussion with various supporting vendors and customer for a twin active-active DC network setup. Supervise vendors in installation and configuration of Dell Layer 2 & Layer 3 switches, Palo Alto Firewall, Fortigate Firewall, F5 GTM and LTM, Cisco ISE, SMS gateway, Solarwind Network monitoring tools as part of the Active-Active twin DC design/setup.   "
XPOINTO MEDIA PRIVATE LIMITED,Marketing Operations Manager,"$6,000to$7,000",Monthly,,Full Time,Middle Management,Advertising / Media ,"Roles & ResponsibilitiesJob description Xpointo is growing our team and we are looking for a seasoned marketer to join us as Marketing Operations Manager.    The Role   You will be responsible for the operational delivery of client projects that can include content marketing projects, medium to large complex web or mobile app builds, performance marketing initiatives and marketing automation implementation. We are looking for a solid marketer whose role is focussed on successful campaign execution, effective coordination between clients and our internal team, and strengthening account relationship through efficient project delivery.   Key Responsibilities    Serve as the Project Lead and partner with the Account Lead to understand, manage and exceed client expectations Participate in pre-sales pitch process including definition of client needs, scope of implementation requirements and solution presentation to clients Scope, plan, design and execute client projects to meet requirements Apply email marketing and content marketing best practices when consulting with clients on designing customer journeys Leverage campaign data analytics to provide recommendations to optimise campaign performance Collaborate with team members across creative, content and technology functions to manage tasks, resources, deliverables and deadlines through to successful completion Liaise with clients on project status updates, tracking key milestones and campaign objectives with recommendations for future actions Influence clients and team members positively, while leading by example when communicating with peers or management Stay informed with latest marketing technology trends and industry best practices Any other duties that may be assigned that are compatible with skills and experience    RequirementsSkills and Experience     Minimum 6 years of relevant working experience with at least 4 years in digital marketing Passionate about marketing and the role that technology plays in empowering the marketer Hands-on experience with Google Analytics, Google Adwords, Facebook Ads Manager Proven track record as a data marketer in either B2B or B2C capacity Experience with marketing automation platforms a plus Good written and verbal English communication skills Strong multi-tasking skills and details orientation with ability to oversee multiple projects at the same time Highly motivated self-starter who is a fast learner and can lead and deliver in a performance-driven environment Managerial experience with mentoring and supervising direct reports in marketing roles Proficient knowledge of Microsoft Office especially Excel and Powerpoint Degree or Diploma in Marketing, Advertising, Communications or related fields     We offer:  A progressive and fast-moving environment where you work alongside an energetic and passionate team of digital natives Opportunity to work on a diverse portfolio of exciting brands including blue-chip multinationals and digitally-forward SMEs Opportunity to advance your career in digital marketing Sponsored certification training with leading marketing technology companies Training opportunities through our internal digital training programmes and through external professional training providers Competitive remuneration package "
ADIDAS SINGAPORE PTE LTD,"Senior Manager, Finance, SEAPAC (SCM)","$7,200to$10,000",Monthly,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Full Time,Senior Management,Banking and Finance,"Roles & ResponsibilitiesPurpose  In this role you are responsible for developing and leading projects to harmonize and improve processes in order to increase efficiency and effectiveness of functions for our Markets, Supply Chain Management (SCM) and Global Operations (GOPS).  Key Responsibilities  Manage budget, forecast and financial analysis of all logistic costs related to the Supply Chain Management (SCM) function within SEAPAC (including all warehouses). Be the strong business partner of local SCM management team. Identify cost drivers of the Supply Chain costs, and support management decisions by financial planning, costs analyisis, internal benchmarking, perfomance managment. Constantly optimizing process and development tools to increase transparancy.    Capture and efficiently analyse data/information to perform trend and root cause analysis as well as to support creative solution alternatives. Identify opportunities for internal supply chain efficiency improvements.  Support the development and continuous enhancement of Key Performance Indicators, strive for transparency on business performance drivers and build sustainable “performance management culture” within the Supply Chain Organization. Support business case development of Supply Chain projects and investments by challenging, identifying and quantifying improvement potential. Act with a business partner mindset, e.g. by ensuring financial and non-financial managers are provided accurate information for analysis and business decisions Act as a team player, embrace continuous learning & improvement and cross-functional collaboration, support APAC projects. Implement and maintain methods for advanced budgeting, forecasting and performance tracking.   RequirementsKnowledge, Skills and Abilities  Result orientated and pro-active with a high degree of business orientation Preferrably with good knowledge of overall supply chain operation or retail industry. Strong analytical skills and process optimization skills Strong communication skills and mutiple-stakholder management capability. Ability to accept and meet critical deadlines with good planning and organization skills Ability to challenge the way in which things are done Excellent MS Office skills (Excel/Access; Powerpoint) SAP knowledge Fluent in English & excellent communication skills Demonstrated application of Six Sigma methodology. Solid project management skills with extensive process mapping skills.  Qualifications  4-year degree from an accredited college or university with emphasis on the areas of business, economics, logistics, planning, supply chain, information systems, or operations. Minimum of 7 years of work experience, preferably in financial analysis or Supply Chain Management "
AMARIS CONSULTING PTE. LTD.,Senior QA Validation Specialist,Salary undisclosed,,"ROBINSON 112, 112 ROBINSON ROAD 068902","Permanent, Full Time","Executive, Senior Executive",Healthcare / Pharmaceutical,"Roles & Responsibilities To provide validation strategy and QA oversight on computer system validation (lab equipment, process equipment, IT, automation system - DeltaV, PEMS, AMS) and equipment/system validation (vessels, fermenter, washing machine, washing cabinet, chambers, Isolator) and SIP To review and approve validation protocols and reports including validation lifecycle documents, but not limited to the following:  URS, FS, SLIA, RA, IQ, OQ, PQ, RTM To review and approve change control and provide validation impact assessment for changes To review and approve deviation and CAPA. Be part of the core member for the deviation investigation and RCA. To review and approve SOPs, if required To have sound knowledge and experience in DI (Data Integrity) principle and practice To have sound knowledge and familiar to regulatory requirements and industry practices on validation Requirements     Graduate, 5+ years relevant experience      Experience in Computer System Validation (CSV) and Equipment Validation      Relevant QA oversight experience in CSV and Equipment Validation      Be familiar with validation life-cycle documents such as IQ, OQ, PQ etc      To have sound knowledge and experience in Data Integrity principle and practice      To have sound knowledge and be familiar with regulatory requirements and industry practices on validation"
UNILEVER ASIA PRIVATE LIMITED,Global Assistant Procurement Manager – Feedstock (Resin and Masterbatch),"$5,000to$9,500",Monthly,"MAPLETREE BUSINESS CITY, 20 PASIR PANJANG ROAD 117439","Permanent, Full Time",Middle Management,Logistics / Supply Chain,"Roles & ResponsibilitiesMAIN JOB PURPOSE: Provide support and contribute to procurement initiatives for the portfolio assigned   MAIN ACCOUNTABILITIES:   Driving Resin (Virgin & PCR) & MB Strategy:   Support and Enable a deep understanding of the value chain for recycled plastics across the various markets from collection to recycling technologies to end use. To support the Feedstock Procurement Manager for formulating and delivering resin sustainability and MB strategy, encompassing Innovation, VIP, & other value delivery globally across categories. Identify & understand the relevant contemporary technologies in the industry and within Unilever capability team, initiate steps to implement the same Understanding the market, Supply and Demand factors and formulating Supply Strategy for the portfolio    Cash & Cost:  To be the backbone to the Feedstock Manager in data management, benchmarking, Tendering, RFQ analysis for maximum value creation to business. First round of negotiations with suppliers with cost break down models & do periodical price negotiations with the suppliers and validate quotations. Project management to drive VIP project from initiative to implementation to ensure OTIF    Operations:  Resolve supply related issues, including unplanned spike in demand, identify & agree with suppliers on investments required in the most cost-effective manner. Track pilots and support roll-out plan to ensure projects to be delivered on the KPIs   Requirements Bachelor Degree in business or equivalent Previous procurement experience preferred Plastics & MB materials knowledge is an advantage Strong Passion for Sustainability and driving radical change in new ecosystem of sourcing Experience in managing large accounts and multi supplier base procurement processes. Superior stakeholder management, both internal (across all hierarchies and functions) and external (with suppliers and consultants). Experience in Finance (Costing & Pricing) is a plus Excellent Excel/Presentation skills and Analytical Skills Good Communication Skills and able to work in fast paced environment and manage timelines Excellent Excel & PowerPoint skills "
CBRE PTE. LTD.,Project Manager (Office Fit-Out) - Expression Of Interest,"$3,500to$5,500",Monthly,,Permanent,"Manager, Senior Executive",Real Estate / Property Management,"Roles & ResponsibilitiesESSENTIAL DUTIES AND RESPONSIBILITIES  Manages all facets of project management (budget, schedule, procurement, quality & risk) for individual real estate projects including planning, design, construction, occupancy and closeout. Demonstrates capability to read, understand and apply standard to complex documents affecting real estate projects, including but not limited to: agreements/contracts, leases, work letters, project charters, surveys and drawings. Interfaces directly with clients to define project requirements. Prepares scope of work, project delivery resource requirements, cost estimate & budget, cash flow, work plan schedule & milestones, quality control, and risk identification. Identifies project delivery resources from pre-qualified lists or through individual project qualification process; conducts standard to complex request for proposals; completes bid analysis; leads evaluation interviews, recommends resources to clients. Leads project delivery resources/team (typically larger more experienced team) providing project guidance and direction to achieve project goals. Implements communication plan for meetings and written reports/meeting minutes to keep client and project resources informed. Facilitates project meetings. Implement project documentation governance aligned with company and client requirements. Ensure project data integrity and documentation is accurate, timely and coordinated. Tracks progress of each project against goals, objectives, approved budgets, approved timelines. Reports status and variances. Creates action plans to meet objectives, budget and schedule. Implements change management routines to assess change requests, make recommendations, secure client approvals, and issue change orders. Assesses change requests to determine impacts to scope, budget, schedule, quality and risk. Demonstrates ability to identify complex project risks, lead constructability reviews, develop risk mitigation and contingency plans, and implement action plans to reduce or eliminate project risks. Demonstrates a knowledge of projects & project management within the context of business results (business case, larger economic implications, business risk, etc). Other duties as assigned. RequirementsEDUCATION and EXPERIENCE  Bachelor's degree from College or University in a technical area of study. Minimum six years of related experience and/or training. Prior experience in a supervisory position (direct report responsibilities) required if specific duties include direct report responsibilities.  COMMUNICATION SKILLS  Ability to comprehend, analyze, and interpret the most complex business documents. Ability to respond effectively to the most sensitive issues. Ability to write reports, manuals, speeches and articles using distinctive style. Ability to make effective and persuasive presentations on complex topics to employees, clients, top management and/or public groups. Ability to motivate and negotiate effectively with key employees, top management, and client groups to take desired action. "
RAM SMAG LIFTING TECHNOLOGIES PTE. LTD.,Senior / Procurement Executive,Salary undisclosed,,160A GUL CIRCLE 629635,Permanent,Senior Executive,Logistics / Supply Chain,"Roles & Responsibilities Achieve effective partnerships with key suppliers. Responsible for managing procurement operation. Check for engineering change for RSC purchasing. Provide purchasing monthly summary to finance for RSC. Conduct supplier sourcing to improve our tiers of suppliers. Counter review buyer PO creation before issuing to supplier. Ensure supplier master data matrix is in proper management. Champion for continuous procurement process improvements. Establish cost optimization strategies that deliver cost savings. Perform demand planning for long lead inventory for production. Resolve internal stakeholders complain & feedback with supplier. Handling cost analysis & competitive benchmark against key suppliers. Negotiate with suppliers on contracts & prices to achieve saving targets. Take the lead to identify root cause for procurement process inefficiencies. Shape synergy relationships with suppliers to drive procurement process improvements. Collaborates with cross department to respond to issues that is impacting daily operation. Reviews, develops & implements proper guideline, policies & procedures for procurement. Evaluate supplier’s quotation to ensure that they are in line with the technical specifications required for the project. Develop contracting strategies documentation: sourcing approaches, preferred suppliers, cost performance, technology roadmaps, work performance & logistics solutions. Any other duties assign by the management. Requirements Degree in Supply Chain Management or Engineering. Knowledgeable on Microsoft AX system. A team player with positive working attitude. Comfortable to work in the west of Singapore. Independent with minimal supervisory, showing adequate initiative. Capable to multiple tasks while attentive to detail & working under tight deadlines. Able to provide accurate information timely & promptly to respective stakeholders. Experience at least 3 years of automotive Procurement, Sourcing function will be advantageous. Able to communicate effectively at all levels stakeholders internally as well as external in both verbally and writing. "
CBRE PTE. LTD.,Senior Facilities Manager,"$7,000to$10,000",Monthly,,"Permanent, Full Time","Middle Management, Manager","Engineering, Real Estate / Property Management, Repair and Maintenance","Roles & Responsibilities  The responsibilities of this role are to manage multiple functions of building operations and maintenance for a facility, campus or portfolio of buildings of significant complexity. The incumbent is therefore responsible for the operational delivery and compliance of all client sites within his/her scope. This role will be based on the client site. In addition, the incumbent may be required to carry out any other duties as assigned by the Regional or Sub-regional Facilities Manager and Regional Engineering Lead.  Develops and maintains positive client relationships. Conducts client meetings on unresolved facility issues in an expeditious and professional manner. Communicates to clients regarding property profiles, emergency preparedness plans, site inspections, facility audits, work order progress reports, and other related reports.  Manages and coaches facilities staff to deliver excellent service levels for the client within budget.  Researches and implements new processes and technology to improve operational efficiency.  Develops and recommends strategic facility management objectives for clients. Reviews various budget reports for multiple facilities.  Develops environmental health and safety procedures for facilities. These procedures include emergency action plans, disaster recovery, business continuity, and other related procedures.   Responsible for facility inspections for quality assurance on a periodic basis. Ensures facility procedures are in full compliance with the applicable laws and regulations.  Prepares and maintains various facility management reports.  Oversees management of capital projects.  Manages all Engineering and Critical Facilities Management functions for our client facilities in Singapore. He/she is also responsible for providing engineering support to facilities located in South East Asia of this account.  Managing and oversee operations of critical facilities and facility engineering management through effective daily operations and administration of critical facilities (e.g. data center) and critical plants with the objectives of safely, efficiently, and reliably operating at the upmost level to its required uptime of 99.99% for tier 1 facilities and 99.9% for tier 2 facilities.   Work requires strong formal conduct of operations skills, technical expertise, personal accountability, and flawless execution of work activities commensurate with a high risk critical environment and associated expectations for exceptional customer satisfaction and confidence.  The Engineer will responses to emergency local call-out and provide site attendance when an event notification is receive. Requirements  Ability to comprehend, analyze, and interpret complex business documents, respond effectively to sensitive issues, write reports, manuals, speeches and articles using distinctive style, make effective and persuasive presentations on complex topics to employees, clients, top management and/or public groups, and motivate and negotiate effectively with key employees, top management, and client groups to take desired action.  Requires in-depth knowledge of financial principles and terms. Ability to do complex calculations, prepare forecasts and budgets. Conducts financial/business analysis including the preparation of reports.  Working knowledge of architectural, electrical and mechanical systems. Working knowledge of leases, contracts and related documents.  Good knowledge of all laws that govern building management and maintenance, including familiarity with the Personal Data (Privacy) Ordinance and legislation that have an impact on building safety, emergency evacuation and environment protection.  Professional Engineering Diploma or Degree in a technical field or equivalent experience in technical leadership, directing and managing critical facility operations, maintenance, and design.  Min. 5+ years of experience in mission critical operations (or similar type critical environment – Tier III and IV), maintenance, and engineering supporting critical facilities operations.  Good technical knowledge with hands on experience and understanding of critical data center systems, including HVAC, Standby emergency power, uninterruptible power supplies, and associated infrastructure.  Proficient in computer applications and software, including commercial computerized maintenance management systems, Microsoft Word, PowerPoint, and Excel "
STARHUB LTD.,Operations Officer  /  Senior Operations Officer,"$1,000to$1,900",Monthly,"STARHUB GREEN, 67 UBI AVENUE 1 408942","Permanent, Full Time",Fresh/entry level,Logistics / Supply Chain,"Roles & ResponsibilitiesMeticulous, motivated and driven operation officer/senior operation officer to support and manage physical (cards) and virtual inventory (mobile number) operations.   Work closely with logistics partner and sale channel and be responsible for overall supply chain management. Responsibilities: Inventory and Virtual Management/System Operation • Responsible for SIM packaging, ordering operation and vendor cycle count process. • Manage the inventory management process, ensure continuous and adequate cards supplies to meet sale demand • Manage the inventory aging, write-off and disposable process • Ensure timely, accurate & successful executions of cards preparation (Generation & Batch Activation) in CRM (Siebel & IN System & VC System) • Responsible for number deletion in IN System, to ensure prepaid number is recycled promptly • Keep track mobile number inventory levels, ensure sufficient quantity for batch activation CPE loan Tracker Operation Support • Manage CPE loan Tacker process in accordance to Test SIM Policy and comply to audit issue • Monitor and ensure CPE loan Tracker request terminate/renew promptly and correctly • Monitor Test SIMs stock levels and replenish accordingly, ensure adequate supplies to meet daily internal request • Manage exceptional handling request that is not supported by system using work around process. Example change/add VAS/Mobile Plan, swap faulty SIMs, consolidate request, different provision system/method Customer Service Support • Attend and resolve daily complaints/enquiries from CS, Sales Stream and internal customer on cards/numbers related issues • Support and process daily enquiries from CS on number (choice and golden number)  availability for reconnection/new sign up • Process ad hoc request from internal customer to perform operation task in CRM system. Example generate APN and Intra-company group in Siebel Reporting • Extract reports from various source (SAP & CRM & Excel report) to feed data for the SIM ordering. • Publish physical inventory status report for internal customer upon request. • Maintain IMDA Mobile number and inventory reports  Requirements• GCE 'O' level or ITE or Diploma in Supply Chain Management • Possess 1-2 years experience in Supply Chain / Service provider / Manufacturing environment • Candidates without prior experience but have keen interest in supply chain operations are welcome to apply Office Skills: • Working knowledge on ERP & CRM system will be added advantage • Computer Literacy: Microsoft Word, Excel, PowerPoint, Outlook, internet browsing functions   Soft Skills: • Resourceful with good communication & interpersonal skills • Adaptability to time pressure & changing priorities • Able to work with different levels of internal/external customers • Able to work in a fast-paced environment • Able to work independently with initiative, creativity & integrity • Positive work attitude & commitment tenacity • Meticulous, strong team player and customer oriented   * We regret that only shortlisted candidates will be notified."
CBRE PTE. LTD.,Regional Facilities Lead,"$10,000to$15,000",Monthly,,Permanent,"Senior Management, Middle Management",Real Estate / Property Management,"Roles & ResponsibilitiesThe Regional Facilities Lead position is a key role within the Account; being part of the CBRE Subject Matter Expert (SME) team on the account. This role is responsible for oversight of day to day corporate workplace including operational responsibilities for the Enterprise Facilities services delivery team for the regional portfolio of our clients mixed used commercial and retail portfolios. The role includes high level relationship management and communications with key stakeholders. The position has overall accountability and takes ownership for all Enterprise Facilities management related services including banking support, cleaning, mailroom, stationary, catering, F&B, events management, guest relations, employee experience including leading response plans from client’s annual property survey results space management, churn and minor works projects. Expectations are to deliver a hotelier style service offering to all employees and guests. This role will also work closely and collaborate with other SME’s such as projects, workplace, security, engineering, maintenance of plant and equipment, supply chain, contract management, Health & Safety, energy, environmental and sustainability, knowledge and technology etc. A key aspect of the role is to change behaviors and drive Enterprise Facilities teams to visible improvements in standards to meet high expectations of our client and all end users. Key Accountabilities:   Manage and coordinate plus taking full ownership and accountability for the delivery of all Workplace related services including Enterprise Facilities Management. Responsible for operational excellence for each country on behalf of the client including; facilities management such as catering F&B, events, guest relations host, cleaning, concierge, mailroom, stationary, engineering etc Responsibility for overall performance delivery of CBRE and Service Providers, ensuring that it meets or exceeds agreed SLA’s and KPI’s Works to ensure the proper coordination with key client stakeholders in relation to significant projects and critical events to meet overall customer satisfaction Responsible for business planning, setting policy and objectives for EFM related services. Identify quality improvements in process or procedures Ensure space management data is updated and reported in line with local requirements and KPI. Ensures that all operational teams under their respective portfolio closes out completed reactive and PPM related works orders on a day by day basis to meet the minimum KPI standards. Conduct regular training sessions with on-site EFM team members to reinforce the importance of customer service, emergency responses, escalations etc. Establish effective business relationships with the key regional stakeholders and take a proactive approach to meeting expectations and requirements Awareness and compliance to CBRE and Client HSE, ensuring safety of work practices and procedures of CBRE employees and contracted employees  Preferred Education & Work Experience  Degree or equivalent in property, and business or related recognized facilities management professional qualification Considerable experience managing Hard & Soft FM service delivery across multiple sites to multiple stakeholders Experience working for a service provider on an outsource contract Considerable experience in Facilities Management with clear evidence of cross-functional real estate experience in an outsourced environment Some experience of managing the facilities supply chain Demonstrable evidence of team management and leadership skills Able to build relationships and communicate with all stakeholders Experienced in driving and closing out operational change Project management related experience would be an advantage Evidence of working in a flexible changing business environment Awareness of workplace health & safety regulations RequirementsPreferred Education & Work Experience  Degree or equivalent in property, and business or related recognized facilities management professional qualification Considerable experience managing Hard & Soft FM service delivery across multiple sites to multiple stakeholders Experience working for a service provider on an outsource contract Considerable experience in Facilities Management with clear evidence of cross-functional real estate experience in an outsourced environment Some experience of managing the facilities supply chain Demonstrable evidence of team management and leadership skills Able to build relationships and communicate with all stakeholders Experienced in driving and closing out operational change Project management related experience would be an advantage Evidence of working in a flexible changing business environment Awareness of workplace health & safety regulations "
